2020-04-01 14:06:37:637 info: User: aadlercr | Method: GET | To: /api/resources/tags | Query: {"q":"","limit":"100"}
2020-04-01 14:06:37:637 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"1","filter":"none","order":"popular","reverse":"false","show":"all"}
2020-04-01 14:06:37:637 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"2","filter":"none","order":"popular","reverse":"false}","show":"all"}
2020-04-01 14:28:09:289 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {}
2020-04-01 14:28:29:2829 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 14:28:52:2852 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":"a","content":"123"}
2020-04-01 14:29:40:2940 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 14:30:09:309 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 14:31:03:313 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 14:31:31:3131 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 14:31:42:3142 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":"a","content":"123"}
2020-04-01 14:32:42:3242 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":"a","content":"123"}
2020-04-01 14:32:57:3257 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":"a","content":"123"}
2020-04-01 14:33:35:3335 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":"a","content":"123"}
2020-04-01 15:47:27:4727 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 15:47:27:4727 info: User: aadlercr | Method: GET | To: /api/resources/tags | Query: {"q":"","limit":"100"}
2020-04-01 15:47:27:4727 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"1","filter":"none","order":"popular","reverse":"false","show":"all"}
2020-04-01 15:47:28:4728 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"2","filter":"none","order":"popular","reverse":"false}","show":"all"}
2020-04-01 15:47:29:4729 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:30:4730 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:31:4731 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 15:47:31:4731 info: User: aadlercr | Method: GET | To: /api/users/all | Query: {"page":"1","filter":"none","user":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:31:4731 info: User: aadlercr | Method: GET | To: /api/users/all | Query: {"page":"2","filter":"none","user":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:31:4731 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:32:4732 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 15:47:33:4733 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 15:47:33:4733 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:34:4734 info: User: aadlercr | Method: GET | To: /api/projects/20 | Query: {}
2020-04-01 15:47:34:4734 info: User: aadlercr | Method: GET | To: /api/projects/boards/8 | Query: {"loc":"/projects/20"}
2020-04-01 15:47:35:4735 info: User: aadlercr | Method: GET | To: /api/resources/tags | Query: {"q":"","limit":"100"}
2020-04-01 15:47:35:4735 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"1","filter":"none","order":"popular","reverse":"false","show":"all"}
2020-04-01 15:47:36:4736 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"2","filter":"none","order":"popular","reverse":"false}","show":"all"}
2020-04-01 15:47:36:4736 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 15:47:38:4738 info: User: aadlercr | Method: GET | To: /api/projects/1 | Query: {}
2020-04-01 15:47:39:4739 info: User: aadlercr | Method: GET | To: /api/projects/boards/1 | Query: {"loc":"/projects/1"}
2020-04-01 15:47:41:4741 info: User: aadlercr | Method: PUT | To: /api/projects/boards/update_task_position | Body: {"title":"adding members to tasks","task_id":20,"color_tag":"#9b88cf","status":"Done","priority":1,"collaborators":[{"u_id":1,"username":"aadlercr","profile_pic":"https://cdn.intra.42.fr/users/aadlercr.jpg"}],"column_id":3}
2020-04-01 15:47:52:4752 info: User: aadlercr | Method: GET | To: /api/projects/boards/1 | Query: {"loc":"/projects/1/tasks/20"}
2020-04-01 15:47:52:4752 info: User: aadlercr | Method: GET | To: /api/projects/boards/tasks/20 | Query: {}
